team,playerName,position,salary,birth,birthYear,height,weight,nationality,joinYear
두산,오재원,내야수,17000,1985-02-09,1985,185,75,한국,2007
두산,오재일,내야수,7300,1986-10-29,1986,187,95,한국,2005
LG,오지환,내야수,15000,1990-03-12,1990,186,80,한국,2009
SK,유서준,내야수,2400,1995-12-04,1995,178,75,한국,2014
NC,유영준,내야수,2400,1994-07-13,1994,183,79,한국,2013
넥센,유재신,내야수,4200,1987-11-21,1987,179,70,한국,2006
NC,윤대영,내야수,2400,1994-01-31,1994,186,97,한국,2013
넥센,윤석민,내야수,7700,1985-09-04,1985,180,88,한국,2004
KIA,윤완주,내야수,3500,1989-02-25,1989,178,77,한국,2012
SK,이대수,내야수,35000,1981-08-21,1981,175,76,한국,2002
NC,이명환,내야수,2400,1985-04-26,1985,188,94,한국,2012
KIA,이범호,내야수,45000,1981-11-25,1981,183,93,한국,2000
NC,이상호,내야수,4000,1989-02-05,1989,180,82,한국,2013
두산,이성곤,내야수,2400,1992-03-25,1992,186,93,한국,2014
삼성,이승엽,내야수,80000,1976-08-18,1976,183,87,한국,1995
롯데,이여상,내야수,5000,1984-02-01,1984,183,83,한국,2007
두산,이원석,내야수,15000,1986-10-21,1986,182,82,한국,2005
NC,이창섭,내야수,2400,1987-03-10,1987,182,77,한국,2010
한화,이창열,내야수,2400,1991-09-06,1991,175,70,한국,2014
롯데,이창진,내야수,2400,1991-03-04,1991,175,80,한국,2014
한화,이학준,내야수,4300,1985-02-25,1985,182,84,한국,2004
NC,이현곤,내야수,15000,1980-02-21,1980,183,83,한국,2002
NC,이호준,내야수,45000,1976-02-08,1976,187,95,한국,1994
넥센,임동휘,내야수,2400,1995-08-22,1995,180,90,한국,2014
넥센,임병욱,내야수,2400,1995-09-30,1995,185,84,한국,2014
한화,임익준,내야수,3800,1988-03-15,1988,180,83,한국,2007
롯데,임종혁,내야수,2500,1990-04-07,1990,177,75,한국,2013
롯데,장성호,내야수,14000,1977-10-18,1977,183,92,한국,1996
넥센,장시윤,내야수,2400,1993-09-23,1993,183,75,한국,2014
LG,장준원,내야수,2400,1995-11-21,1995,183,77,한국,2014
한화,전현태,내야수,3700,1986-07-09,1986,184,87,한국,2005
한화,정근우,내야수,70000,1982-10-02,1982,172,80,한국,2005
넥센,정범수,내야수,2400,1992-08-08,1992,178,79,한국,2011
삼성,정병곤,내야수,4000,1988-03-23,1988,176,72,한국,2011
LG,정성훈,내야수,50000,1980-06-27,1980,182,83,한국,1999
삼성,정현,내야수,2800,1994-06-01,1994,181,80,한국,2013
롯데,정훈,내야수,8000,1987-07-18,1987,181,84,한국,2010
삼성,조동찬,내야수,22000,1983-07-27,1983,180,80,한국,2002
SK,조성우,내야수,3500,1988-02-08,1988,188,91,한국,2010
롯데,조성환,내야수,20000,1976-12-23,1976,180,83,한국,1999
LG,조쉬벨,내야수,250000,1986-11-13,1986,190,104,미국,
NC,조영훈,내야수,10500,1982-11-12,1982,185,90,한국,2005
한화,조정원,내야수,2700,1990-08-10,1990,176,76,한국,2013
NC,조평호,내야수,3600,1985-08-07,1985,188,84,한국,2004
NC,지석훈,내야수,6000,1984-03-17,1984,181,74,한국,2008
삼성,차화준,내야수,2800,1986-03-20,1986,180,82,한국,2005
LG,채은성,내야수,2400,1990-02-06,1990,186,92,한국,2014
삼성,채태인,내야수,21000,1982-10-11,1982,187,94,한국,2003
LG,최승준,내야수,2700,1988-01-11,1988,188,88,한국,2006
두산,최영진,내야수,3500,1988-05-10,1988,185,87,한국,2012
SK,최정,내야수,70000,1987-02-28,1987,180,84,한국,2005
두산,최주환,내야수,5800,1988-02-28,1988,178,73,한국,2006
롯데,최준석,내야수,40000,1983-02-15,1983,187,130,한국,2001
두산,최형록,내야수,2400,1989-08-23,1989,180,98,한국,2007
KIA,최희섭,내야수,10000,1979-03-16,1979,196,99,한국,2002
두산,칸투,내야수,250000,1982-01-30,1982,192,92,미국,
NC,테임즈,내야수,250000,1986-11-10,1986,183,95,미국,
KIA,필,내야수,250000,1984-09-09,1984,193,102,미국,
한화,한상훈,내야수,20000,1980-06-03,1980,176,78,한국,2003
두산,허경민,내야수,8000,1990-08-26,1990,176,69,한국,2009
SK,홍명찬,내야수,2600,1987-01-19,1987,187,90,한국,2006
넥센,홍성갑,내야수,2400,1992-08-02,1992,181,80,한국,2011
두산,홍성흔,내야수,40000,1977-02-28,1977,180,96,한국,1999
NC,홍지운,내야수,2400,1991-11-30,1991,183,84,한국,2014
LG,황목치승,내야수,2400,1985-06-21,1985,173,68,한국,2013
롯데,황재균,내야수,19000,1987-07-28,1987,183,90,한국,2006
KIA,황정립,내야수,3200,1989-12-14,1989,182,85,한국,2012
롯데,황진수,내야수,2500,1989-02-15,1989,180,79,한국,2008
롯데,히메네스,내야수,250000,1982-05-07,1982,192,127,Unknown,
삼성,강봉규,외야수,10000,1978-01-12,1978,183,88,한국,2000
넥센,강지광,외야수,2400,1990-10-23,1990,181,100,한국,2009
롯데,고도현,외야수,2400,1990-10-13,1990,182,97,한국,2013
한화,고동진,외야수,10000,1980-04-01,1980,183,85,한국,2004
넥센,고종욱,외야수,2900,1989-01-11,1989,184,83,한국,2011
두산,국해성,외야수,2500,1989-10-08,1989,180,94,한국,2009
NC,권희동,외야수,5100,1990-12-30,1990,177,85,한국,2013
SK,김강민,외야수,30000,1982-09-13,1982,182,85,한국,2001
한화,김경언,외야수,5800,1982-12-07,1982,188,84,한국,2001
두산,김경호,외야수,2400,1995-07-31,1995,180,68,한국,2014
넥센,김남형,외야수,2500,1988-05-08,1988,177,77,한국,2007
KIA,김다원,외야수,2800,1985-09-17,1985,185,88,한국,2008
롯데,김대우,외야수,3500,1984-07-26,1984,190,94,한국,2005
SK,김도현,외야수,2800,1992-10-23,1992,182,95,한국,2011
롯데,김문호,외야수,4000,1987-06-22,1987,184,90,한국,2006
넥센,김민준,외야수,2400,1994-02-12,1994,174,73,한국,2013
롯데,김민하,외야수,2600,1989-02-25,1989,183,82,한국,2011
SK,김상현,외야수,16000,1980-11-12,1980,190,95,한국,2001
NC,김성욱,외야수,2500,1993-05-01,1993,181,83,한국,2012
KIA,김원섭,외야수,25000,1978-12-18,1978,180,75,한국,2001
SK,김재현,외야수,4000,1987-11-07,1987,174,70,한국,2006
NC,김종호,외야수,9000,1984-05-31,1984,183,82,한국,2007
KIA,김주찬,외야수,50000,1981-03-25,1981,183,85,한국,2000
NC,김준완,외야수,2400,1991-01-20,1991,174,73,한국,2013
두산,김진형,외야수,2500,1990-06-07,1990,179,83,한국,2009
한화,김태완,외야수,10000,1984-01-27,1984,189,105,한국,2006
삼성,김헌곤,외야수,2500,1988-11-09,1988,174,81,한국,2011
두산,김현수,외야수,45000,1988-01-12,1988,188,100,한국,2006
NC,나성범,외야수,7500,1989-10-03,1989,183,100,한국,2012
KIA,나지완,외야수,20000,1985-05-19,1985,182,95,한국,2008
한화,노수광,외야수,2400,1990-08-06,1990,180,75,한국,2014
넥센,로티노,외야수,270000,1980-04-07,1980,183,86,미국,
KIA,류현철,외야수,2400,1991-05-08,1991,186,81,한국,2014
삼성,문선엽,외야수,2700,1991-07-31,1991,175,80,한국,2010
LG,문선재,외야수,7500,1990-05-20,1990,184,80,한국,2009
넥센,문우람,외야수,6200,1992-03-08,1992,177,83,한국,2012
두산,민병헌,외야수,14500,1987-03-10,1987,178,78,한국,2006
두산,박건우,외야수,3100,1990-09-08,1990,184,80,한국,2009
한화,박상규,외야수,2600,1989-05-02,1989,183,82,한국,2008
LG,박용근,외야수,4000,1984-01-21,1984,172,76,한국,2007
LG,박용택,외야수,35000,1979-04-21,1979,185,90,한국,2002
NC,박으뜸,외야수,2500,1990-06-14,1990,176,70,한국,2013
SK,박재상,외야수,16000,1982-07-20,1982,178,80,한국,2001
NC,박정준,외야수,5300,1984-06-26,1984,185,87,한국,2003
KIA,박준태,외야수,2400,1991-07-26,1991,181,75,한국,2014
한화,박준혁,외야수,2400,1991-01-09,1991,188,91,한국,2014
삼성,박찬도,외야수,2600,1989-02-22,1989,185,75,한국,2012
삼성,박한이,외야수,45000,1979-01-28,1979,182,91,한국,2001
삼성,박해민,외야수,2400,1990-02-24,1990,180,75,한국,2012
넥센,박헌도,외야수,2600,1987-01-01,1987,180,91,한국,2009
LG,배병옥,외야수,2400,1995-11-21,1995,185,80,한국,2014
롯데,백민기,외야수,2500,1990-09-16,1990,185,86,한국,2013
롯데,손아섭,외야수,40000,1988-03-18,1988,174,88,한국,2007
삼성,손형준,외야수,2400,1989-07-01,1989,186,88,한국,2012
한화,송주호,외야수,2900,1988-07-11,1988,181,75,한국,2007
삼성,송준석,외야수,2400,1994-05-04,1994,176,78,한국,2014
넥센,송지만,외야수,10000,1973-03-02,1973,178,85,한국,1996
LG,스나이더,외야수,150000,1982-05-25,1982,192,96,미국,
SK,스캇,외야수,250000,1978-06-25,1978,182,100,미국,
롯데,신원재,외야수,2400,1991-07-17,1991,185,90,한국,2014
KIA,신종길,외야수,10000,1983-12-31,1983,183,85,한국,2002
SK,안치용,외야수,5500,1979-02-23,1979,183,93,한국,2002
LG,양영동,외야수,5000,1983-07-16,1983,173,70,한국,2008
넥센,오윤,외야수,7300,1981-09-08,1981,185,105,한국,2000
NC,오정복,외야수,5300,1986-10-13,1986,177,75,한국,2009
두산,오현근,외야수,2600,1985-09-12,1985,183,75,한국,2008
삼성,우동균,외야수,5500,1989-12-03,1989,175,68,한국,2008
KIA,유재혁,외야수,2700,1992-03-29,1992,182,70,한국,2011
넥센,유한준,외야수,11500,1981-07-01,1981,186,97,한국,2004
KIA,이경록,외야수,2800,1989-01-18,1989,184,95,한국,2011
KIA,이대형,외야수,30000,1983-07-19,1983,184,78,한국,2003
KIA,이동훈,외야수,2600,1989-04-28,1989,176,72,한국,2013
SK,이명기,외야수,4000,1987-12-26,1987,183,80,한국,2006
LG,이병규,외야수,80000,1974-10-25,1974,185,85,한국,1997
LG,이병규,외야수,9300,1983-10-09,1983,178,90,한국,2006
삼성,이상훈,외야수,4000,1987-05-04,1987,171,75,한국,2010
넥센,이성열,외야수,11000,1984-07-13,1984,185,102,한국,2003
롯데,이승화,외야수,6000,1982-05-04,1982,182,85,한국,2001
한화,이양기,외야수,5200,1981-01-31,1981,184,90,한국,2003
삼성,이영욱,외야수,7000,1985-10-11,1985,180,85,한국,2008
한화,이용규,외야수,70000,1985-08-26,1985,175,70,한국,2004
NC,이종욱,외야수,50000,1980-06-18,1980,176,78,한국,2003
KIA,이종환,외야수,3600,1986-05-08,1986,175,90,한국,2010
KIA,이준호,외야수,4000,1987-09-07,1987,183,86,한국,2011
NC,이지우,외야수,2400,1994-05-22,1994,183,84,한국,2014
LG,이진영,외야수,60000,1980-06-15,1980,185,90,한국,1999
넥센,이택근,외야수,70000,1980-07-10,1980,183,89,한국,2003
KIA,이호신,외야수,2800,1984-05-19,1984,176,72,한국,2007
LG,임재철,외야수,15000,1976-04-08,1976,182,88,한국,1999
SK,임훈,외야수,7500,1985-07-17,1985,186,86,한국,2004
두산,장민석,외야수,12500,1982-05-09,1982,180,73,한국,2001
한화,장운호,외야수,2700,1994-02-20,1994,183,85,한국,2012
롯데,전준우,외야수,16000,1986-02-25,1986,184,91,한국,2008
두산,정수빈,외야수,13700,1990-10-07,1990,175,70,한국,2009
LG,정의윤,외야수,12000,1986-07-25,1986,185,87,한국,2005
SK,정진기,외야수,2900,1992-10-10,1992,185,84,한국,2011
한화,정현석,외야수,8000,1984-03-01,1984,182,93,한국,2008
삼성,정형식,외야수,12000,1991-01-28,1991,178,73,한국,2009
SK,조동화,외야수,12000,1981-03-22,1981,175,74,한국,2001
롯데,조홍석,외야수,2800,1990-02-23,1990,175,70,한국,2013
NC,최재원,외야수,2500,1990-07-30,1990,183,81,한국,2013
한화,최진행,외야수,17000,1985-08-17,1985,188,100,한국,2004
삼성,최형우,외야수,45000,1983-12-16,1983,179,86,한국,2002
한화,추승우,외야수,6000,1979-09-24,1979,187,74,한국,2002
한화,피에,외야수,250000,1985-02-08,1985,188,86,도미니카,
롯데,하준호,외야수,2600,1989-04-29,1989,174,78,한국,2008
SK,한동민,외야수,6500,1989-08-09,1989,190,95,한국,2012
삼성,허승민,외야수,2600,1986-02-28,1986,177,75,한국,2008
롯데,황동채,외야수,3500,1983-07-04,1983,180,73,한국,2006
LG,황선일,외야수,2800,1987-02-17,1987,186,81,한국,2006
NC,마낙길,외야수,2600,1989-06-22,1989,178,75,한국,2012
두산,정수환,외야수,2400,1989-05-02,1989,192,108,한국,2013
