선수명,생년월일,출신교,출신,연도,팀명,평균자책점,경기,완투,완봉,승,패,세,홀,승률,타자,이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책점
강민영,1981년 07월 04일,경남고,한국,2001,롯데,6.32,26,0,0,0,5,0,0,0,217,47,52,8,26,3,44,35,33
강민영,1981년 07월 04일,경남고,한국,2002,롯데,0,3,0,0,0,0,0,0,0,20,4 2/3,2,0,2,3,6,2,0
강병규,1972년 05월 20일,성남고-두산,한국,1991,OB,2.67,17,1,0,2,2,0,0,0.5,255,60 2/3,58,4,26,4,23,24,18
강병규,1972년 05월 20일,성남고-두산,한국,1992,OB,5.05,18,1,0,1,4,1,0,0.2,301,67 2/3,79,8,25,4,33,39,38
강병규,1972년 05월 20일,성남고-두산,한국,1993,OB,3.09,29,4,1,10,9,0,0,0.526,570,139 2/3,124,4,36,8,70,52,48
강병규,1972년 05월 20일,성남고-두산,한국,1994,OB,4.27,18,2,0,5,5,0,0,0.5,352,78,93,4,25,12,41,46,37
강병규,1972년 05월 20일,성남고-두산,한국,1995,OB,4.6,18,2,0,5,6,0,0,0.455,459,103 2/3,112,12,39,7,50,56,53
강병규,1972년 05월 20일,성남고-두산,한국,1996,OB,3.99,25,2,0,7,11,0,0,0.389,518,121 2/3,119,9,45,9,55,63,54
강병규,1972년 05월 20일,성남고-두산,한국,1997,OB,3.58,48,0,0,6,5,2,0,0.545,446,103,105,4,37,6,54,48,41
강병규,1972년 05월 20일,성남고-두산,한국,1998,OB,3.63,34,2,0,5,10,1,0,0.333,573,134,143,10,40,6,74,57,54
강병규,1972년 05월 20일,성남고-두산,한국,1999,두산,5.21,29,1,0,13,9,0,0,0.591,637,143 1/3,164,19,48,9,92,92,83
강병규,1972년 05월 20일,성남고-두산,한국,2000,SK,8.44,11,0,0,2,2,0,0,0.5,125,26 2/3,39,7,13,1,7,25,25
강봉수,1971년 12월 09일,중앙대,한국,1993,LG,1.94,45,0,0,5,2,4,0,0.714,332,79,71,2,35,3,41,20,17
강봉수,1971년 12월 09일,중앙대,한국,1994,LG,2.61,37,0,0,2,1,4,0,0.667,161,38,35,1,15,1,22,18,11
강봉수,1971년 12월 09일,중앙대,한국,1995,LG,5.87,27,0,0,0,2,0,0,0,108,23,32,1,7,1,12,16,15
강봉수,1971년 12월 09일,중앙대,한국,1996,한화,5.74,22,0,0,0,1,1,0,0,70,15 2/3,16,3,9,1,6,10,10
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,1994,롯데,3.56,18,3,1,7,6,0,0,0.538,392,93 2/3,95,11,30,2,63,42,37
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,1995,롯데,3.35,18,3,3,7,5,0,0,0.583,414,102,97,6,20,6,64,44,38
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,1996,롯데,3.97,33,4,0,9,10,1,0,0.474,751,176 2/3,185,10,51,8,104,87,78
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,1997,롯데,5.13,36,1,0,3,11,3,0,0.214,467,101 2/3,129,7,45,7,70,65,58
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,1998,롯데,4.46,41,0,0,4,8,5,0,0.333,469,111,97,16,43,11,85,59,55
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,1999,롯데,2.78,55,0,0,5,7,19,0,0.417,322,77 2/3,62,7,32,6,66,26,24
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,2000,롯데,1.77,50,0,0,6,8,23,0,0.429,274,71,48,5,22,1,66,19,14
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,2001,롯데,4.75,58,0,0,6,7,10,4,0.462,392,89,81,12,48,4,62,52,47
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,2002,롯데,4.58,39,0,0,2,7,7,2,0.222,261,55,63,6,36,5,33,34,28
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,2003,롯데,5.5,33,0,0,2,3,6,1,0.4,238,54,54,15,29,2,47,35,33
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,2004,롯데,4.11,29,0,0,0,1,0,4,0,161,35,41,5,20,1,17,16,16
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,2005,롯데,8.28,24,0,0,0,0,1,0,0,149,29 1/3,35,4,22,6,17,27,27
강상수,1971년 06월 22일,대천초-대천중-부산고-고려대-롯데-LG,한국,2006,LG,7.98,16,0,0,1,0,0,1,1,71,14 2/3,23,2,6,1,11,13,13
강상진,1962년 04월 17일,전주고-고려대,한국,1986,해태,5.16,10,0,0,1,0,0,0,1,107,22 2/3,24,2,11,2,9,15,13
강상진,1962년 04월 17일,전주고-고려대,한국,1987,해태,6.4,13,1,0,0,4,0,0,0,207,45,49,2,32,3,13,34,32
강상진,1962년 04월 17일,전주고-고려대,한국,1988,해태,27,1,0,0,0,0,0,0,0,9,1,2,0,5,0,0,4,3
강상진,1962년 04월 17일,전주고-고려대,한국,1991,쌍방울,16.2,3,0,0,0,1,0,0,0,17,3 1/3,6,1,2,0,1,6,6
강유삼,1981년 07월 25일,서원초-세광중-세광고-경희대,한국,2006,삼성,4.5,1,0,0,0,0,0,0,0,23,4,10,1,0,0,1,5,2
강철민,1979년 07월 22일,성동초-이수중-효천고-한양대-KIA,한국,2002,KIA,5.68,26,0,0,5,6,0,1,0.455,345,77 2/3,100,9,22,2,46,51,49
강철민,1979년 07월 22일,성동초-이수중-효천고-한양대-KIA,한국,2003,KIA,4.88,27,2,0,6,7,0,1,0.462,397,90 1/3,82,16,44,9,44,54,49
강철민,1979년 07월 22일,성동초-이수중-효천고-한양대-KIA,한국,2004,KIA,5.33,31,1,0,8,12,1,0,0.4,650,145 1/3,159,14,61,13,86,94,86
강철민,1979년 07월 22일,성동초-이수중-효천고-한양대-KIA,한국,2005,KIA,4.68,23,0,0,3,8,0,0,0.273,424,92 1/3,99,14,52,11,68,52,48
강철민,1979년 07월 22일,성동초-이수중-효천고-한양대-KIA,한국,2006,KIA,2.76,10,0,0,3,2,0,0,0.6,263,58 2/3,54,5,36,1,32,19,18
강철민,1979년 07월 22일,성동초-이수중-효천고-한양대-KIA,한국,2010,LG,5.4,3,0,0,0,1,0,0,0,49,11 2/3,8,2,8,1,10,7,7
강철원,1958년 01월 27일,동대문상고,한국,1982,OB,2.18,8,3,0,5,0,0,0,1,187,45 1/3,36,1,23,1,15,12,11
강철원,1958년 01월 27일,동대문상고,한국,1983,OB,6.32,17,1,0,4,2,0,0,0.667,275,62 2/3,72,12,23,7,21,44,44
강철원,1958년 01월 27일,동대문상고,한국,1984,OB,7.36,3,0,0,0,0,0,0,0,18,3 2/3,4,1,3,0,0,4,3
강철원,1958년 01월 27일,동대문상고,한국,1985,OB,3.38,3,0,0,0,0,0,0,0,24,5 1/3,7,0,1,0,2,2,2
강철원,1958년 01월 27일,동대문상고,한국,1986,청보,9,8,0,0,0,2,0,0,0,60,12,17,3,5,3,3,12,12
강태원,1971년 05월 15일,순천상고-해태,한국,1989,해태,8.74,7,1,0,0,3,0,0,0,104,22 2/3,32,5,7,1,13,22,22
강태원,1971년 05월 15일,순천상고-해태,한국,1990,해태,7.32,17,0,0,1,0,0,0,1,162,35 2/3,45,7,10,2,11,33,29
강태원,1971년 05월 15일,순천상고-해태,한국,1991,해태,7.41,14,0,0,0,0,0,0,0,94,17,34,3,8,3,13,18,14
강태원,1971년 05월 15일,순천상고-해태,한국,1992,해태,11.74,8,0,0,0,0,0,0,0,39,7 2/3,15,3,3,0,8,10,10
강태원,1971년 05월 15일,순천상고-해태,한국,1993,해태,3.72,21,0,0,2,1,1,0,0.667,201,46,47,6,17,0,17,23,19
강태원,1971년 05월 15일,순천상고-해태,한국,1994,해태,3.42,29,2,0,3,4,0,0,0.429,333,81 2/3,72,2,21,6,44,33,31
강태원,1971년 05월 15일,순천상고-해태,한국,1995,해태,2.49,44,0,0,4,3,2,0,0.571,363,86 2/3,81,6,24,6,62,32,24
강태원,1971년 05월 15일,순천상고-해태,한국,1996,해태,2.78,40,0,0,4,3,0,0,0.571,329,81,70,4,27,2,58,32,25
강태원,1971년 05월 15일,순천상고-해태,한국,1997,해태,3.2,41,0,0,1,3,2,0,0.25,282,70 1/3,56,7,28,3,40,28,25
강태원,1971년 05월 15일,순천상고-해태,한국,1998,해태,7.4,28,0,0,1,0,1,0,1,114,24 1/3,31,5,8,2,12,21,20
강태원,1971년 05월 15일,순천상고-해태,한국,1999,해태,6.39,41,0,0,0,2,0,0,0,139,31,37,9,8,7,23,23,22
강태원,1971년 05월 15일,순천상고-해태,한국,2000,해태,4.36,50,0,0,0,2,0,6,0,137,33,29,6,14,2,38,18,16
강태원,1971년 05월 15일,순천상고-해태,한국,2001,KIA,8.71,15,0,0,0,3,0,0,0,50,10 1/3,14,3,6,2,8,10,10
강희석,1974년 02월 07일,군산상고-쌍방울,한국,1994,쌍방울,3.48,9,0,0,1,0,0,0,1,84,20 2/3,15,3,8,1,8,8,8
강희석,1974년 02월 07일,군산상고-쌍방울,한국,1995,쌍방울,14.73,4,0,0,0,0,0,0,0,21,3 2/3,7,2,4,0,1,6,6
강희석,1974년 02월 07일,군산상고-쌍방울,한국,1999,쌍방울,5.14,13,0,0,1,4,0,0,0.2,214,49,48,6,17,3,19,36,28
강희석,1974년 02월 07일,군산상고-쌍방울,한국,2000,SK,7.56,37,0,0,1,8,1,0,0.111,462,97 2/3,123,17,43,7,62,87,82
강희석,1974년 02월 07일,군산상고-쌍방울,한국,2001,SK,4.43,12,0,0,0,0,0,0,0,104,22 1/3,26,4,9,1,18,15,11
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2000,LG,4.32,24,1,0,4,5,1,0,0.444,368,85 1/3,89,8,28,4,56,45,41
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2001,LG,4.37,46,0,0,4,3,2,3,0.571,356,80 1/3,84,8,36,5,76,42,39
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2002,LG,4.64,40,0,0,1,1,1,2,0.5,226,52 1/3,51,3,21,3,46,30,27
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2003,LG,4.2,54,0,0,4,4,1,11,0.5,319,70 2/3,74,8,34,3,73,39,33
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2004,LG,1.04,6,0,0,0,1,1,0,0,32,8 2/3,5,1,1,0,5,2,1
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2005,LG,3.98,43,0,0,0,2,9,4,0,226,54 1/3,47,3,14,6,37,25,24
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2006,LG,3.46,34,0,0,2,3,2,5,0.4,216,52,48,3,16,1,28,23,20
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2007,LG,5.96,23,0,0,1,0,0,2,1,103,22 2/3,25,4,10,1,16,18,15
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2008,LG,2.31,30,0,0,1,0,0,2,1,191,46 2/3,42,4,14,1,27,13,12
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2009,LG,4.76,28,0,0,2,1,1,1,0.667,152,34,41,6,12,3,25,20,18
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2010,LG,0,5,0,0,0,0,0,0,0,20,5,5,0,0,0,4,0,0
경헌호,1977년 07월 25일,신남초-신월중-선린상고-한양대-LG,한국,2011,LG,2.57,4,0,0,0,0,0,0,0,26,7,4,0,0,1,1,3,2
계형철,1953년 04월 03일,송림초-동인천중-중앙고-성균관대-OB,한국,1982,OB,4.88,21,3,1,4,4,0,0,0.5,416,90 1/3,73,6,76,2,42,59,49
계형철,1953년 04월 03일,송림초-동인천중-중앙고-성균관대-OB,한국,1983,OB,3.44,29,9,3,9,12,0,0,0.429,816,193 1/3,190,11,72,13,86,97,74
계형철,1953년 04월 03일,송림초-동인천중-중앙고-성균관대-OB,한국,1984,OB,2.06,29,6,1,14,4,0,0,0.778,701,174 2/3,135,8,63,7,92,44,40
계형철,1953년 04월 03일,송림초-동인천중-중앙고-성균관대-OB,한국,1985,OB,2.78,34,8,0,11,11,2,0,0.5,789,194,165,17,63,7,84,71,60
계형철,1953년 04월 03일,송림초-동인천중-중앙고-성균관대-OB,한국,1986,OB,3.16,22,3,1,5,7,0,0,0.417,452,111,94,8,50,2,47,48,39
계형철,1953년 04월 03일,송림초-동인천중-중앙고-성균관대-OB,한국,1987,OB,2.61,25,5,0,8,12,0,0,0.4,633,148 1/3,122,3,74,6,53,59,43
계형철,1953년 04월 03일,송림초-동인천중-중앙고-성균관대-OB,한국,1988,OB,3.75,33,2,0,10,12,2,0,0.455,558,129 2/3,121,7,62,2,48,59,54
계형철,1953년 04월 03일,송림초-동인천중-중앙고-성균관대-OB,한국,1989,OB,3.59,20,1,1,5,8,2,0,0.385,375,87 2/3,88,5,35,1,38,40,35
계형철,1953년 04월 03일,송림초-동인천중-중앙고-성균관대-OB,한국,1990,OB,5.42,27,0,1,2,13,2,0,0.133,510,114 2/3,123,7,59,5,43,74,69
계형철,1953년 04월 03일,송림초-동인천중-중앙고-성균관대-OB,한국,1991,OB,5.86,14,2,0,1,6,1,0,0.143,204,43,56,1,21,1,14,35,28
고든,1978년 08월 16일,미국 라운드락고-SK,미국,2011,SK,3.81,14,0,0,6,4,0,0,0.6,315,75 2/3,68,3,20,4,70,34,32
고든,1978년 08월 16일,미국 라운드락고-SK,미국,2012,삼성,3.94,25,0,0,11,3,0,0,0.786,552,128,144,10,38,2,80,61,56
고상천,1978년 06월 10일,대전고-홍익대,한국,2001,한화,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,2,2
고상천,1978년 06월 10일,대전고-홍익대,한국,2002,한화,27,1,0,0,0,0,0,0,0,7,1,3,0,1,0,0,3,3
고상천,1978년 06월 10일,대전고-홍익대,한국,2003,한화,5.4,12,0,0,0,0,0,0,0,37,6 2/3,3,0,12,2,6,4,4
고상천,1978년 06월 10일,대전고-홍익대,한국,2004,한화,27,1,0,0,0,0,0,0,0,3, 1/3,0,0,1,0,0,2,1
고성범,1974년 09월 13일,동래고,한국,1993,롯데,0,1,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0
고성범,1974년 09월 13일,동래고,한국,1994,롯데,4.05,9,0,0,0,0,0,0,0,49,13 1/3,8,2,5,0,9,6,6
고성범,1974년 09월 13일,동래고,한국,1995,롯데,40.5,1,0,0,0,0,0,0,0,6, 2/3,4,1,0,0,0,3,3
고승환,1975년 06월 07일,선린정보-경성대,한국,1998,쌍방울,13.5,1,0,0,0,0,0,0,0,10,1 1/3,4,0,2,0,0,3,2
고우석,1984년 11월 03일,화정초-충장중-광주제일고-KIA-상무,한국,2003,KIA,3.88,37,0,0,3,1,0,2,0.75,249,58,57,5,21,5,38,26,25
고우석,1984년 11월 03일,화정초-충장중-광주제일고-KIA-상무,한국,2004,KIA,9.9,18,0,0,0,5,0,0,0,153,30,44,8,20,3,27,37,33
고우석,1984년 11월 03일,화정초-충장중-광주제일고-KIA-상무,한국,2007,KIA,10.8,3,0,0,0,1,0,0,0,25,5,7,0,3,1,7,6,6
고우석,1984년 11월 03일,화정초-충장중-광주제일고-KIA-상무,한국,2008,KIA,5.49,13,0,0,0,0,0,0,0,85,19 2/3,14,1,8,8,10,12,12
고우석,1984년 11월 03일,화정초-충장중-광주제일고-KIA-상무,한국,2009,KIA,3.75,8,0,0,0,0,1,0,0,57,12,14,2,9,3,12,5,5
고우석,1984년 11월 03일,화정초-충장중-광주제일고-KIA-상무,한국,2011,KIA,0,2,0,0,0,0,0,0,0,5,1 1/3,0,0,2,0,2,0,0
